trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
112,False,"{'a': 0.5, 'e': 0.9932415247893743}",25,0,-135.47244739248183,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.9931193423968988}",30,0,-247.72725785741451,"{0: 13, 1: 2, 2: 11, 3: 1, 4: 3}",0
114,False,"{'a': 0.5, 'e': 0.9929960692575768}",25,0,-141.22135243488347,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.9928717055067997}",30,0,-131.00078102730532,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.9927462512811569}",20,2,-76.644036935976,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.992619706718435}",25,0,-120.13937442284762,"{0: 12, 1: 2, 2: 10, 3: 1, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.9924920719576186}",25,0,-180.71234555577274,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
119,False,"{'a': 0.5, 'e': 0.9923633471388894}",20,0,-46.32138430752474,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.9922335324036262}",30,0,-134.3142995217773,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.9921026278944053}",20,0,-111.85121235373249,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
122,False,"{'a': 0.5, 'e': 0.9919706337549995}",25,0,-84.61013321891326,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.9918375501303784}",30,0,-69.45864690645195,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.9917033771667084}",20,0,-51.71934164859509,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.9915681150113521}",20,0,-145.4616537488008,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
126,False,"{'a': 0.5, 'e': 0.9914317638128685}",20,0,-35.93396629293882,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.9912943237210127}",20,0,-98.00996083120312,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.9911557948867354}",25,0,-297.1742826262173,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 5}",0
129,False,"{'a': 0.5, 'e': 0.9910161774621838}",20,0,-79.9497715797876,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.9908754716007}",20,0,-116.2353902098793,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.9907336774568218}",25,0,-122.5523711348637,"{0: 12, 1: 3, 2: 8, 3: 2, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.9905907951862825}",35,0,-174.84671979940012,"{0: 21, 1: 3, 2: 7, 3: 2, 4: 2}",0
133,False,"{'a': 0.5, 'e': 0.9904468249460099}",20,0,-75.28286894657833,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.9903017668941272}",25,0,-102.75352623929031,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
135,False,"{'a': 0.5, 'e': 0.9901556211899523}",20,0,-136.94770624476615,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
136,False,"{'a': 0.5, 'e': 0.9900083879939976}",25,0,-63.67420839063191,"{0: 17, 1: 6, 2: 1, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.9898600674679697}",20,0,-77.0362687219371,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.9897106597747699}",30,0,-80.87097938516419,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
